               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11004,             0.16108,            0.038229,           0.0073243,             0.12318,           0.0044592,          0.00090285,             0.10384,              0.1744,             0.03702,               4e-05,               4e-05,             0.09964
                   1,             0.10771,             0.16453,            0.037872,           0.0075775,              0.1213,           0.0044706,          0.00088478,            0.099482,             0.18623,            0.036595,          8.9995e-05,          8.9995e-05,             0.09919
                   2,             0.10583,             0.17665,            0.037391,           0.0077854,             0.13342,           0.0049344,           0.0010876,            0.095572,             0.19611,            0.036147,          0.00013997,          0.00013997,             0.09874
                   3,             0.10436,             0.18205,            0.036888,           0.0081212,             0.13688,           0.0052386,           0.0010228,            0.092485,              0.2033,            0.035721,          0.00018991,          0.00018991,             0.09829
                   4,             0.10292,             0.18224,            0.036535,           0.0081759,             0.13612,           0.0049804,           0.0010293,            0.090522,             0.20754,            0.035324,          0.00023979,          0.00023979,             0.09784
                   5,             0.10153,             0.17626,            0.036177,           0.0080558,             0.13211,           0.0048886,            0.001067,            0.088992,             0.21061,            0.034956,           0.0002896,           0.0002896,             0.09739
                   6,             0.10141,               0.185,            0.035753,           0.0075506,             0.12816,           0.0045484,           0.0009324,            0.088204,             0.21192,            0.034616,          0.00033932,          0.00033932,            0.096939
                   7,             0.10071,             0.18677,            0.035312,           0.0070764,             0.12783,           0.0042777,          0.00089771,            0.087792,             0.21228,            0.034303,          0.00038894,          0.00038894,            0.096489
                   8,              0.1001,             0.18248,            0.035026,           0.0070593,             0.12726,           0.0042911,          0.00090954,            0.087772,             0.21185,            0.034024,          0.00043844,          0.00043844,            0.096038
                   9,            0.099203,               0.186,            0.034836,           0.0077286,             0.12893,           0.0046394,          0.00096367,            0.087515,             0.21213,            0.033773,           0.0004878,           0.0004878,            0.095588
                  10,            0.098641,             0.17079,            0.034516,           0.0076417,             0.13379,           0.0046483,           0.0010072,            0.087334,             0.21235,            0.033539,          0.00053701,          0.00053701,            0.095137
                  11,            0.098427,             0.19339,             0.03413,           0.0080922,              0.1385,           0.0049289,            0.001116,            0.087213,             0.21224,            0.033321,          0.00058605,          0.00058605,            0.094686
                  12,             0.09775,             0.18444,            0.033846,           0.0080975,             0.14126,           0.0049602,           0.0011671,            0.086866,             0.21268,             0.03312,           0.0006349,           0.0006349,            0.094235
                  13,            0.097809,             0.20262,            0.033664,           0.0075914,             0.12435,           0.0044724,           0.0011056,             0.08696,             0.21216,            0.032936,          0.00068355,          0.00068355,            0.093784
                  14,             0.09781,             0.19538,            0.033377,           0.0079711,             0.12152,           0.0046269,           0.0011052,            0.086916,             0.21196,             0.03276,          0.00073198,          0.00073198,            0.093332
                  15,            0.096646,             0.19472,            0.033184,           0.0084012,             0.12814,           0.0049277,           0.0011825,            0.086875,             0.21172,            0.032596,          0.00078018,          0.00078018,             0.09288
                  16,             0.09745,             0.19311,            0.033136,           0.0085716,             0.14159,           0.0051582,           0.0011676,            0.086669,             0.21193,            0.032446,          0.00082812,          0.00082812,            0.092428
                  17,            0.096417,             0.19871,            0.032891,           0.0095167,             0.14472,            0.005656,           0.0013239,            0.086551,             0.21194,            0.032308,          0.00087581,          0.00087581,            0.091976
                  18,            0.095855,             0.18337,            0.032652,            0.009758,             0.14503,            0.005824,           0.0012857,            0.086634,             0.21159,             0.03218,           0.0009232,           0.0009232,            0.091523
                  19,             0.09607,             0.18603,            0.032552,            0.010026,             0.13847,           0.0059011,           0.0012568,            0.086655,             0.21154,            0.032061,          0.00097031,          0.00097031,             0.09107
                  20,             0.09528,             0.19921,            0.032288,            0.010345,             0.14136,           0.0061406,            0.001294,             0.08665,             0.21139,            0.031939,           0.0010171,           0.0010171,            0.090617
                  21,            0.094867,             0.19384,            0.032188,           0.0094406,             0.13442,           0.0056628,           0.0011358,            0.086129,              0.2125,            0.031826,           0.0010636,           0.0010636,            0.090164
                  22,            0.094822,             0.18808,            0.032223,           0.0094157,             0.12699,           0.0055716,           0.0010634,            0.085937,             0.21268,             0.03172,           0.0011097,           0.0011097,             0.08971
                  23,            0.094593,             0.18609,            0.032185,           0.0090002,             0.12852,           0.0056109,           0.0010016,            0.086352,             0.21123,            0.031645,           0.0011554,           0.0011554,            0.089255
                  24,             0.09479,             0.18401,            0.031862,           0.0093436,             0.12349,           0.0056894,           0.0010248,            0.086701,             0.20988,            0.031566,           0.0012008,           0.0012008,            0.088801
                  25,            0.093222,             0.18751,            0.031528,           0.0096332,             0.12144,            0.005674,           0.0010406,            0.086551,             0.20892,            0.031493,           0.0012458,           0.0012458,            0.088346
                  26,            0.093047,              0.1738,            0.031676,            0.011485,             0.11608,           0.0060678,           0.0011283,             0.08563,             0.20947,            0.031401,           0.0012904,           0.0012904,             0.08789
                  27,            0.093941,             0.17069,            0.031718,            0.016192,            0.076893,           0.0070262,              0.0013,            0.085702,             0.20756,             0.03132,           0.0013346,           0.0013346,            0.087435
                  28,            0.092342,             0.17585,            0.031285,            0.017754,            0.089749,           0.0082347,           0.0016152,            0.083908,             0.20774,            0.031211,           0.0013783,           0.0013783,            0.086978
                  29,            0.092094,              0.1684,            0.031136,             0.35322,            0.098388,           0.0092381,           0.0018229,            0.082853,             0.20526,            0.031061,           0.0014216,           0.0014216,            0.086522
                  30,            0.089532,             0.17506,             0.03106,              0.3631,            0.086125,            0.012795,           0.0026597,             0.08091,             0.20531,            0.031021,           0.0014645,           0.0014645,            0.086064
                  31,            0.090353,             0.16487,            0.031369,             0.36903,             0.11706,            0.021186,           0.0044535,            0.077441,             0.20622,            0.030795,           0.0015068,           0.0015068,            0.085607
                  32,            0.089562,             0.16474,            0.031043,             0.37688,            0.086903,            0.020899,           0.0041892,            0.078901,             0.20128,            0.030803,           0.0015487,           0.0015487,            0.085149
                  33,            0.088082,             0.17361,            0.031077,             0.39128,              0.1198,            0.036959,           0.0087079,             0.07473,             0.20323,            0.030551,           0.0015901,           0.0015901,             0.08469
                  34,            0.087956,             0.17172,            0.030968,             0.40033,             0.14615,            0.044462,            0.010469,            0.074554,             0.19903,            0.030546,            0.001631,            0.001631,            0.084231
                  35,            0.087951,             0.16416,            0.030741,             0.38858,             0.11661,            0.031276,           0.0071278,            0.078013,             0.19335,            0.030686,           0.0016713,           0.0016713,            0.083771
                  36,            0.087437,             0.16793,            0.030946,              0.3928,             0.12916,             0.03278,           0.0070956,            0.078282,             0.19115,            0.030624,           0.0017111,           0.0017111,            0.083311
                  37,            0.087016,             0.16705,            0.031384,              0.3887,            0.095563,             0.02603,           0.0054821,            0.080976,             0.18879,            0.030667,           0.0017504,           0.0017504,             0.08285
                  38,            0.085426,              0.1781,             0.03094,             0.41861,             0.12649,             0.04862,            0.010864,            0.077208,             0.18629,             0.03057,            0.001789,            0.001789,            0.082389
                  39,             0.08536,             0.17373,            0.030229,             0.43627,             0.20584,            0.075836,            0.017793,            0.071919,             0.19285,            0.030186,           0.0018272,           0.0018272,            0.081927
                  40,            0.084929,              0.1735,             0.03081,             0.42386,             0.20881,            0.064643,             0.01318,            0.074602,             0.18472,            0.030243,           0.0018647,           0.0018647,            0.081465
                  41,            0.084802,             0.17194,            0.030914,             0.44668,             0.20284,             0.08251,            0.021474,            0.071131,             0.18865,            0.030109,           0.0019016,           0.0019016,            0.081002
                  42,            0.083749,             0.16719,            0.031018,             0.45852,             0.17499,            0.078955,            0.020168,            0.072352,             0.18283,            0.030236,           0.0019379,           0.0019379,            0.080538
                  43,            0.083534,              0.1719,            0.031069,             0.44816,             0.22871,            0.094926,            0.026145,            0.068106,             0.20773,            0.030176,           0.0019736,           0.0019736,            0.080074
                  44,            0.082946,             0.16709,            0.030854,             0.46412,               0.217,             0.10217,            0.026706,            0.068299,             0.18984,            0.030119,           0.0020087,           0.0020087,            0.079609
                  45,            0.082824,             0.17156,            0.030728,             0.45567,             0.25024,             0.10356,            0.027292,            0.068182,             0.18557,            0.030049,           0.0020431,           0.0020431,            0.079143
                  46,            0.082616,             0.17207,            0.030999,             0.45865,             0.23041,            0.095619,            0.022753,            0.070151,             0.18203,            0.030042,           0.0020769,           0.0020769,            0.078677
                  47,            0.081722,             0.16682,            0.030759,             0.46029,             0.25048,             0.11022,             0.03109,            0.065845,             0.18432,            0.030042,             0.00211,             0.00211,             0.07821
