               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11761,             0.13762,            0.038679,            0.001524,           0.0062848,          0.00063827,          8.3629e-05,             0.12118,             0.12056,            0.036579,               4e-05,               4e-05,             0.09964
                   1,             0.11652,             0.13675,            0.038274,           0.0025391,            0.013102,          0.00096341,          0.00017457,             0.11806,             0.13095,            0.035996,          8.9995e-05,          8.9995e-05,             0.09919
                   2,             0.11371,             0.14375,            0.037862,           0.0028872,             0.04838,            0.001572,          0.00031943,             0.11552,              0.1411,            0.035807,          0.00013997,          0.00013997,             0.09874
                   3,             0.11163,             0.14549,            0.037372,           0.0027008,            0.040023,           0.0015128,          0.00024787,             0.11491,             0.14293,            0.035828,          0.00018991,          0.00018991,             0.09829
                   4,             0.10986,             0.15552,            0.037031,           0.0019444,            0.028026,           0.0010359,           0.0001819,             0.11522,             0.13968,            0.035872,          0.00023979,          0.00023979,             0.09784
                   5,              0.1088,             0.16083,            0.036628,           0.0014325,            0.023133,          0.00076647,          0.00015392,             0.11471,             0.14122,            0.035925,           0.0002896,           0.0002896,             0.09739
                   6,             0.10606,             0.16376,            0.036195,           0.0013156,            0.024914,          0.00070313,          0.00015644,             0.11395,             0.14402,            0.035903,          0.00033932,          0.00033932,            0.096939
                   7,             0.10516,             0.17463,            0.035529,           0.0016327,            0.031833,          0.00088853,          0.00019604,             0.11326,             0.14634,            0.035801,          0.00038894,          0.00038894,            0.096489
                   8,              0.1039,             0.16828,            0.035126,           0.0017195,            0.033307,          0.00092126,          0.00019687,             0.11301,             0.14727,             0.03581,          0.00043844,          0.00043844,            0.096038
                   9,             0.10103,             0.17437,            0.034714,           0.0012862,            0.024607,          0.00066677,           0.0001521,             0.11252,             0.14961,            0.035764,           0.0004878,           0.0004878,            0.095588
                  10,             0.10035,             0.16755,            0.034319,          0.00068968,            0.010727,          0.00035221,          8.0968e-05,             0.11178,             0.15281,            0.035504,          0.00053701,          0.00053701,            0.095137
                  11,            0.097409,             0.17009,            0.033784,           0.0014786,            0.020001,          0.00077608,          0.00016233,             0.10999,             0.15918,            0.035108,          0.00058605,          0.00058605,            0.094686
                  12,            0.097186,             0.17114,            0.033366,           0.0045468,            0.020308,           0.0018238,          0.00036575,             0.10902,             0.16493,             0.03489,           0.0006349,           0.0006349,            0.094235
                  13,            0.096096,             0.16788,            0.032896,           0.0045246,            0.053027,           0.0026024,          0.00051427,             0.10873,             0.16556,            0.034707,          0.00068355,          0.00068355,            0.093784
                  14,            0.095156,              0.1682,             0.03265,           0.0093908,            0.034659,           0.0055792,          0.00095561,             0.10687,             0.16891,            0.034327,          0.00073198,          0.00073198,            0.093332
                  15,            0.092744,             0.17202,            0.032518,            0.019082,            0.038487,           0.0066736,           0.0012485,             0.10469,              0.1726,            0.034159,          0.00078018,          0.00078018,             0.09288
                  16,            0.091856,             0.17162,            0.032196,            0.025057,            0.056974,            0.010857,           0.0020612,             0.10091,             0.17694,            0.033841,          0.00082812,          0.00082812,            0.092428
                  17,            0.090949,             0.17078,               0.032,            0.024783,             0.05294,            0.010826,           0.0021465,            0.097775,             0.18001,            0.033447,          0.00087581,          0.00087581,            0.091976
                  18,            0.089491,             0.17393,            0.031701,             0.03453,            0.071754,            0.014922,           0.0031125,            0.091816,             0.18758,            0.032961,           0.0009232,           0.0009232,            0.091523
                  19,            0.088663,             0.17312,            0.031516,            0.064719,             0.11568,            0.017953,           0.0036644,            0.088002,             0.19138,            0.032809,          0.00097031,          0.00097031,             0.09107
                  20,             0.08785,             0.17635,            0.031336,             0.38565,            0.097876,            0.027505,           0.0060637,            0.083775,             0.19397,            0.032206,           0.0010171,           0.0010171,            0.090617
                  21,            0.087117,             0.17442,            0.031771,             0.41142,            0.086637,            0.036542,            0.008184,            0.080719,             0.19563,            0.032006,           0.0010636,           0.0010636,            0.090164
                  22,            0.085853,             0.17388,            0.031085,             0.41856,             0.11243,            0.040305,           0.0095319,            0.078858,             0.19408,            0.031879,           0.0011097,           0.0011097,             0.08971
                  23,            0.085381,             0.16904,            0.031242,             0.42152,             0.15553,            0.055786,            0.013929,            0.073793,             0.19462,            0.031469,           0.0011554,           0.0011554,            0.089255
                  24,            0.084038,             0.17464,            0.031405,             0.43226,             0.22209,            0.077122,            0.021968,            0.070456,             0.19071,            0.031288,           0.0012008,           0.0012008,            0.088801
                  25,            0.082428,             0.17125,            0.030975,             0.43569,             0.20083,            0.072992,            0.018445,            0.071691,             0.18508,            0.031327,           0.0012458,           0.0012458,            0.088346
                  26,            0.081651,             0.17513,            0.031181,             0.42817,             0.16383,            0.055879,            0.013543,            0.076406,             0.18149,            0.031527,           0.0012904,           0.0012904,             0.08789
                  27,            0.081661,             0.17375,            0.030758,             0.44405,             0.21313,             0.08352,            0.021972,            0.071236,             0.18059,            0.031276,           0.0013346,           0.0013346,            0.087435
                  28,            0.081135,             0.17838,            0.031243,              0.4477,             0.18365,            0.082235,            0.022532,            0.071385,             0.18105,            0.031446,           0.0013783,           0.0013783,            0.086978
                  29,            0.080141,             0.17086,            0.031194,             0.46753,             0.30593,             0.11857,            0.033849,            0.063971,             0.17879,            0.030897,           0.0014216,           0.0014216,            0.086522
                  30,            0.079801,             0.17502,            0.031042,             0.46158,             0.26069,             0.10872,            0.031048,            0.067874,             0.17887,            0.031105,           0.0014645,           0.0014645,            0.086064
                  31,            0.078574,             0.17291,            0.030791,             0.49439,             0.34016,              0.1501,            0.047964,            0.060702,             0.18453,            0.030727,           0.0015068,           0.0015068,            0.085607
                  32,            0.077888,             0.17172,            0.030782,             0.49694,             0.35144,             0.15929,             0.04756,            0.061258,             0.18308,            0.030711,           0.0015487,           0.0015487,            0.085149
                  33,            0.077719,             0.17477,            0.031094,             0.49962,             0.30726,             0.14934,            0.045014,            0.062835,             0.17846,            0.030838,           0.0015901,           0.0015901,             0.08469
                  34,              0.0759,             0.17748,            0.030703,             0.50075,             0.31218,             0.15366,             0.05186,            0.059063,             0.18036,            0.030859,            0.001631,            0.001631,            0.084231
                  35,            0.075858,             0.17592,            0.030974,             0.51629,             0.33425,             0.17627,            0.069771,            0.056236,             0.17807,            0.030656,           0.0016713,           0.0016713,            0.083771
                  36,            0.075248,             0.18104,             0.03035,             0.50993,             0.27313,             0.14886,            0.038329,            0.063031,             0.17861,            0.030851,           0.0017111,           0.0017111,            0.083311
                  37,            0.075729,             0.17917,            0.030964,             0.50695,             0.37128,             0.18417,             0.07234,            0.055351,             0.17845,            0.030616,           0.0017504,           0.0017504,             0.08285
                  38,            0.074232,             0.17998,            0.030903,             0.51066,             0.33447,             0.17646,            0.069117,            0.055455,             0.17981,            0.030666,            0.001789,            0.001789,            0.082389
                  39,            0.073887,             0.16993,            0.030952,             0.53126,             0.32856,             0.19184,            0.071261,            0.055452,             0.17431,            0.030638,           0.0018272,           0.0018272,            0.081927
                  40,            0.072816,             0.18324,            0.030964,             0.52566,             0.44082,              0.2078,            0.083999,            0.049599,             0.18657,            0.030424,           0.0018647,           0.0018647,            0.081465
                  41,            0.072734,             0.17149,            0.030568,             0.54385,             0.36643,             0.20905,            0.062761,            0.057184,             0.17055,            0.030382,           0.0019016,           0.0019016,            0.081002
                  42,            0.073763,             0.18097,             0.03087,             0.54889,             0.33339,             0.20896,            0.082616,            0.052417,              0.1752,            0.030432,           0.0019379,           0.0019379,            0.080538
                  43,            0.073067,             0.18015,            0.030429,             0.51193,             0.34254,             0.18885,            0.060484,            0.056292,             0.18338,             0.03041,           0.0019736,           0.0019736,            0.080074
                  44,            0.073129,             0.17987,            0.030736,             0.53625,             0.37007,             0.20964,            0.067033,            0.058057,             0.17823,            0.030364,           0.0020087,           0.0020087,            0.079609
                  45,            0.071361,             0.17409,            0.030889,             0.53959,             0.43246,             0.23186,             0.11121,            0.048001,             0.17741,            0.030258,           0.0020431,           0.0020431,            0.079143
                  46,            0.072251,             0.17408,             0.03102,             0.53723,             0.36018,             0.21806,             0.10544,            0.048423,             0.17691,            0.030531,           0.0020769,           0.0020769,            0.078677
                  47,            0.072104,             0.17243,             0.03038,             0.56323,             0.37433,             0.23046,            0.088408,            0.052534,             0.16555,            0.030389,             0.00211,             0.00211,             0.07821
                  48,            0.072297,             0.17731,             0.03096,             0.55858,             0.43267,             0.24381,             0.09347,            0.050733,              0.1683,            0.030294,           0.0021424,           0.0021424,            0.077742
                  49,            0.070208,             0.17848,            0.031079,             0.56002,             0.42623,             0.24622,             0.10149,            0.050559,             0.16225,            0.030166,           0.0021742,           0.0021742,            0.077274
                  50,            0.070139,             0.17584,            0.030835,             0.55613,             0.37721,             0.23226,             0.09388,            0.049432,             0.16235,            0.030092,           0.0022052,           0.0022052,            0.076805
                  51,            0.068698,             0.17303,            0.030576,             0.54267,             0.45589,              0.2441,            0.086476,            0.050638,             0.16577,            0.030204,           0.0022356,           0.0022356,            0.076336
                  52,            0.068205,             0.17829,            0.030797,             0.55902,             0.40631,             0.23993,            0.080648,             0.05027,             0.15772,            0.030001,           0.0022652,           0.0022652,            0.075865
                  53,            0.068561,             0.17938,              0.0305,              0.5681,             0.45137,             0.25538,             0.11366,            0.044262,             0.16115,            0.029882,           0.0022942,           0.0022942,            0.075394
                  54,            0.068917,             0.17747,            0.030286,             0.50298,             0.34254,             0.17191,            0.038728,            0.059752,             0.15481,            0.029861,           0.0023224,           0.0023224,            0.074922
